Ch4EmissionRate,Ch4EmissionRateInTgwh,Ch4EmissionRateUnit,City,Co2EmissionRate,Co2EmissionRateInTmwh,Co2EmissionRateUnit,Co2eEmissionRate,Co2eEmissionRateInTmwh,Co2eEmissionRateUnit,Country,CreatedDate,EmissionFactorDataSource,EmissionFactorUpdateYear,GenlConversionFctrRevisionDate,GridSubregion,LocBasedGeothermalMixPct,LocBasedOtherFossilFuelMixPct,LocBasedRenewableEnergyPct,LocBsdRenewableEnrgyNonHydro,LocationBasedBiomassMixPct,LocationBasedCoalMixPct,LocationBasedGasMixPct,LocationBasedHydroMixPct,LocationBasedMixPct,LocationBasedNuclearMixPct,LocationBasedOilMixPct,LocationBasedOtherFuelMixPct,LocationBasedSolarMixPct,LocationBasedWindMixPct,MarketBasedBiomassMixPct,MarketBasedCoalMixPct,MarketBasedGasMixPct,MarketBasedHydroMixPct,MarketBasedMixPct,MarketBasedNuclearMixPct,MarketBasedOilMixPct,MarketBasedOtherFuelMixPct,MarketBasedSolarMixPct,MarketBasedWindMixPct,MktBasedGeothermalMixPct,MktBasedOtherFossilFuelMixPct,MktBasedRenewableEnergyPct,MktBsdCo2eEmissionRate,MktBsdCo2eEmissionRateInTmwh,MktBsdCo2eEmissionRateUnit,MktBsdRenewableEnrgyNonHydro,N2oEmissionRate,N2oEmissionRateInTgwh,N2oEmissionRateUnit,Name,PostalCodeSet,State
,0,KG_PER_KWH,,,0,KG_PER_KWH,475.02,0.47502,G_PER_KWH,NL,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,,0,,15,12,1,18,43,3,101,8,0,17,1,10,1,18,43,3,101,8,0,17,1,10,0,,15,475.02,0.47502,G_PER_KWH,12,,0,KG_PER_KWH,Netherlands - NL - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,37.92,0.03792,G_PER_KWH,NO,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,Southeast Norway,0,,92,5,0,0,1,87,99,5,0,1,0,5,0,0,1,87,99,5,0,1,0,5,0,,92,37.92,0.03792,G_PER_KWH,5,,0,KG_PER_KWH,Southeast Norway - NO-NO1 - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,50.34,0.05034,G_PER_KWH,NO,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,Southwest Norway,0,,95,10,1,2,2,85,101,1,0,1,0,9,1,2,2,85,101,1,0,1,0,9,0,,95,50.34,0.05034,G_PER_KWH,10,,0,KG_PER_KWH,Southwest Norway - NO-NO2 - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,38.34,0.03834,G_PER_KWH,NO,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,Middle Norway,0,,94,8,0,0,2,86,99,2,0,1,0,8,0,0,2,86,99,2,0,1,0,8,0,,94,38.34,0.03834,G_PER_KWH,8,,0,KG_PER_KWH,Middle Norway - NO-NO3 - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,561.16,0.56116,G_PER_KWH,US,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,Western Area Power Administration - Rocky Mountain Region,0,,29,8,0,64,6,21,99,0,0,0,0,8,0,64,6,21,99,0,0,0,0,8,0,,29,561.16,0.56116,G_PER_KWH,8,,0,KG_PER_KWH,United States - US-NW-WACM - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,311.53,0.31153,G_PER_KWH,US,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,Western Area Power Administration UGP West,0,,59,10,0,33,5,49,99,1,1,0,0,10,0,33,5,49,99,1,1,0,0,10,0,,59,311.53,0.31153,G_PER_KWH,10,,0,KG_PER_KWH,United States - US-NW-WAUW - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,12.47,0.01247,G_PER_KWH,US,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,"Naturener Wind Watch, Llc",0,,100,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,,100,12.47,0.01247,G_PER_KWH,100,,0,KG_PER_KWH,United States - US-NW-WWA - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,222.4,0.2224,G_PER_KWH,US,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,New York,0,,24,3,0,2,39,21,101,34,0,2,0,3,0,2,39,21,101,34,0,2,0,3,0,,24,222.4,0.2224,G_PER_KWH,3,,0,KG_PER_KWH,United States - US-NY - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,380.15,0.38015,G_PER_KWH,US,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,PJM,0,,5,3,0,24,36,2,100,34,0,1,0,3,0,24,36,2,100,34,0,1,0,3,0,,5,380.15,0.38015,G_PER_KWH,3,,0,KG_PER_KWH,United States - US-PJM - electricityMap 2019,,
,0,KG_PER_KWH,,,0,KG_PER_KWH,661.7,0.6617,G_PER_KWH,US,2022-05-13T22:22:15.000+0000,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2019,,South Carolina,0,,4,0,0,57,35,4,100,0,0,4,0,0,0,57,35,4,100,0,0,4,0,0,0,,4,661.7,0.6617,G_PER_KWH,0,,0,KG_PER_KWH,United States - US-SC - electricityMap 2019,,
